,Assembly,bipar,error,fn,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC,Marker lineage,# genomes,# markers,# marker sets,Completeness,Contamination,Strain heterogeneity,Genome size (bp),# ambiguous bases,# scaffolds,# contigs_x,N50 (scaffolds),N50 (contigs),Mean scaffold length (bp),Mean contig length (bp),Longest scaffold (bp),Longest contig (bp),GC,GC std (scaffolds > 1kbp),Coding density,Translation table,# predicted genes,0,1,2,3,4,5+,Unnamed: 29,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs_y,Largest contig,Total length,GC (%),N50,N75,L50,L75,# N's per 100 kbp
186,G001696485,10069,0,0.0,7842,7781,7,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.98,True,o__Actinomycetales (UID1696),455,314,189,99.47,1.63,50.0,8690708,100396,7,118,8466550,157752,1241529,72799,8466550,486018,71.47,2.52,87.03,11,7805,1,303,10,0,0,0,,7,7,4,4,4,3,8690708,8690708,8683272,8683272,8683272,8657076,7,8466550,8690708,71.47,8466550,8466550,1,1,1155.21
187,G000745975,10069,0,0.0,3972,3888,86,kingdom,1.0,0.98,0.0,0.0,0.0,0.99,0.97,True,c__Deltaproteobacteria (UID3216),83,247,155,96.13,0.65,0.0,4466775,480,86,87,138923,129607,51939,51336,400161,400161,48.64,4.76,89.32,11,3958,7,239,1,0,0,0,,86,86,63,50,38,25,4466775,4466775,4416238,4332127,4120351,3640292,86,400161,4466775,48.64,138923,67821,11,21,10.75
188,G000455825,10069,4,0.0004,4025,3908,252,kingdom,1.0,0.97,0.0,0.0,0.0,0.95,0.92,True,o__Actinomycetales (UID1593),69,400,198,98.74,0.51,0.0,3996920,0,260,260,158001,158001,15372,15372,666327,666327,68.24,2.36,92.92,11,4030,3,396,1,0,0,0,,260,46,40,36,30,25,3996920,3917876,3905432,3875320,3764289,3590327,260,666327,3996920,68.24,158001,80269,8,17,0.0
189,G000337675,10069,0,0.0,4522,4403,41,kingdom,1.0,0.97,0.0,0.0,0.0,0.97,0.95,True,f__Halobacteriaceae (UID85),51,395,250,98.53,0.4,0.0,4416525,143,44,44,232276,232271,100375,100372,497273,497259,64.36,3.3,84.8,11,4459,6,388,1,0,0,0,,44,41,35,33,28,23,4416525,4415704,4401076,4386794,4316744,4132643,44,497273,4416525,64.36,232276,112767,7,14,3.24
190,G900107575,10069,9,0.0009,2532,2416,64,class,0.93,0.89,0.17,0.41,0.93,0.65,0.58,True,f__Lachnospiraceae (UID1255),90,354,174,97.13,0.48,50.0,2958954,200,66,67,81778,81778,44832,44160,270803,270803,54.26,4.5,88.56,11,2526,6,346,2,0,0,0,,66,62,54,46,34,24,2958954,2956810,2938648,2875797,2697690,2363303,66,270803,2958954,54.26,81778,59226,11,22,6.76
191,G001190755,10069,0,0.0,1659,1635,1,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.97,True,c__Epsilonproteobacteria (UID3065),111,445,271,98.95,0.0,0.0,1641887,0,1,1,1641887,1641887,1641887,1641887,1641887,1641887,29.23,0.0,91.95,11,1657,4,441,0,0,0,0,,1,1,1,1,1,1,1641887,1641887,1641887,1641887,1641887,1641887,1,1641887,1641887,29.23,1641887,1641887,1,1,0.0
192,G001488575,10069,2,0.0002,3313,3216,4,genus,0.91,0.88,0.59,0.06,0.12,0.97,0.86,False,f__Halobacteriaceae (UID84),60,359,235,99.08,0.0,0.0,3130345,0,4,4,2510607,2510607,782586,782586,2510607,2510607,66.57,7.11,87.48,11,3304,3,356,0,0,0,0,,4,4,4,4,4,4,3130345,3130345,3130345,3130345,3130345,3130345,4,2510607,3130345,66.57,2510607,2510607,1,1,0.0
193,G000242835,10069,2,0.0002,4364,4300,10,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.97,True,o__Sphingomonadales (UID3310),26,569,293,99.06,1.61,0.0,4760413,97312,10,70,4215355,194209,476041,66615,4215355,515219,65.71,6.8,86.54,11,4326,5,558,4,1,1,0,,10,10,6,5,4,4,4760413,4760413,4750500,4743270,4728869,4728869,10,4215355,4760413,65.71,4215355,4215355,1,1,2044.19
194,G900107845,10069,3,0.0003,3659,3636,30,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,c__Gammaproteobacteria (UID4761),52,693,297,99.66,1.06,0.0,4060055,7250,30,36,365272,291802,135335,112577,776426,734680,51.53,3.65,91.48,11,3654,1,684,8,0,0,0,,30,30,20,19,16,14,4060055,4060055,4040923,4034771,3976720,3906479,30,776426,4060055,51.53,365272,212408,4,7,178.57
195,G001420915,10069,1,0.0001,4253,4241,1,kingdom,1.0,1.0,0.0,0.0,0.0,0.99,0.99,True,c__Gammaproteobacteria (UID4442),899,312,185,100.0,0.27,0.0,4416600,0,1,1,4416600,4416600,4416600,4416600,4416600,4416600,45.96,0.0,87.26,11,4281,0,311,1,0,0,0,,1,1,1,1,1,1,4416600,4416600,4416600,4416600,4416600,4416600,1,4416600,4416600,45.96,4416600,4416600,1,1,0.0
196,G000525955,10069,0,0.0,3450,3363,69,genus,0.98,0.96,0.01,0.02,0.05,0.99,0.95,True,c__Bacilli (UID285),586,325,181,95.84,1.1,0.0,3374439,0,71,71,87430,87430,47527,47527,244375,244375,41.41,2.57,86.82,11,3427,10,313,2,0,0,0,,71,64,54,50,40,26,3374439,3369997,3350143,3322470,3150714,2620736,71,244375,3374439,41.41,87430,56590,13,25,0.0
197,G000830985,10069,3,0.0003,4590,4516,1,kingdom,1.0,0.98,0.0,0.0,0.0,0.93,0.91,True,c__Gammaproteobacteria (UID4444),263,506,232,94.58,0.0,0.0,3975896,0,1,1,3975896,3975896,3975896,3975896,3975896,3975896,57.6,0.0,89.67,11,4643,19,487,0,0,0,0,,1,1,1,1,1,1,3975896,3975896,3975896,3975896,3975896,3975896,1,3975896,3975896,57.6,3975896,3975896,1,1,0.0
198,G001788915,10069,1,0.0001,866,798,29,kingdom,1.0,0.92,0.0,0.0,0.0,0.96,0.88,True,k__Bacteria (UID1452),924,161,108,69.82,0.93,0.0,855402,296,29,36,35509,33445,29496,23752,93625,69049,54.56,1.49,92.61,11,881,35,125,1,0,0,0,,29,29,29,25,16,4,855402,855402,855402,831734,691933,282247,29,93625,855402,54.56,35509,27757,8,15,34.6
199,G900129845,10069,12,0.0012,3292,3251,16,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,f__Rhodobacteraceae (UID3356),67,617,330,98.79,0.45,0.0,3257490,0,16,16,1636816,1636816,203593,203593,1636816,1636816,54.45,3.31,91.7,11,3298,5,610,2,0,0,0,,16,16,9,9,8,8,3257490,3257490,3245181,3245181,3220213,3220213,16,1636816,3257490,54.45,1636816,213622,1,4,0.0
200,G000484595,10069,0,0.0,3437,3376,19,kingdom,1.0,0.98,0.0,0.0,0.0,0.99,0.97,True,c__Bacilli (UID259),750,276,152,99.34,0.0,0.0,3479654,0,19,19,514883,514883,183139,183139,695161,695161,37.55,3.47,83.04,11,3398,1,275,0,0,0,0,,19,19,13,13,11,10,3479654,3479654,3469912,3469912,3436030,3398732,19,695161,3479654,37.55,514883,288232,3,6,0.0
201,G000010585,10069,1,0.0001,2344,2238,9,kingdom,1.0,0.95,0.0,0.0,0.0,0.97,0.92,True,c__Bacilli (UID285),586,325,181,96.13,1.1,0.0,2219737,0,9,9,2102324,2102324,246637,246637,2102324,2102324,36.56,4.58,89.68,11,2352,8,315,2,0,0,0,,9,9,3,3,2,2,2219737,2219737,2198536,2198536,2182869,2182869,9,2102324,2219737,36.56,2102324,2102324,1,1,0.0
202,G001785275,10069,5,0.0005,822,783,36,phylum,0.97,0.93,0.36,0.13,0.28,0.98,0.91,True,k__Bacteria (UID2495),2993,143,89,75.95,0.0,0.0,752752,378,36,41,28145,28145,20909,18350,117988,117988,40.65,1.48,89.33,11,844,27,116,0,0,0,0,,36,36,36,24,8,3,752752,752752,752752,659785,414337,247976,36,117988,752752,40.65,28145,14916,7,17,50.22
203,G001280515,10069,1,0.0001,3156,3145,56,kingdom,1.0,1.0,0.0,0.0,0.0,0.99,0.99,True,s__algicola (UID2846),47,571,303,99.34,0.91,0.0,3556543,0,56,56,1955450,1955450,63509,63509,1955450,1955450,36.19,8.3,92.7,11,3166,2,563,6,0,0,0,,56,20,11,10,10,9,3556543,3542052,3519925,3512564,3512564,3466179,56,1955450,3556543,36.19,1955450,298728,1,3,0.0
204,G001447335,10069,0,0.0,4349,4301,1,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.97,True,c__Gammaproteobacteria (UID4442),899,312,185,100.0,0.27,0.0,4400034,0,1,1,4400034,4400034,4400034,4400034,4400034,4400034,61.49,0.0,88.68,11,4296,0,311,1,0,0,0,,1,1,1,1,1,1,4400034,4400034,4400034,4400034,4400034,4400034,1,4400034,4400034,61.49,4400034,4400034,1,1,0.0
205,G001865655,10069,1,0.0001,3778,3740,1,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.97,True,s__algicola (UID2846),47,571,303,99.67,1.06,0.0,4399611,0,1,1,4399611,4399611,4399611,4399611,4399611,4399611,35.95,0.0,91.81,11,3777,1,565,5,0,0,0,,1,1,1,1,1,1,4399611,4399611,4399611,4399611,4399611,4399611,1,4399611,4399611,35.95,4399611,4399611,1,1,0.0
206,G000012965,10069,1,0.0001,2161,2139,1,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,k__Bacteria (UID3060),138,337,245,99.59,1.22,0.0,2201561,0,1,1,2201561,2201561,2201561,2201561,2201561,2201561,34.46,0.0,93.29,11,2166,1,333,2,1,0,0,,1,1,1,1,1,1,2201561,2201561,2201561,2201561,2201561,2201561,1,2201561,2201561,34.46,2201561,2201561,1,1,0.0
207,G000014765,10069,1,0.0001,2672,2592,3,order,0.95,0.92,0.33,0.03,0.05,0.98,0.9,True,c__Betaproteobacteria (UID3959),235,414,211,99.5,0.12,0.0,2781824,0,3,3,2661057,2661057,927274,927274,2661057,2661057,48.54,0.98,87.55,11,2718,2,411,1,0,0,0,,3,3,3,3,3,3,2781824,2781824,2781824,2781824,2781824,2781824,3,2661057,2781824,48.54,2661057,2661057,1,1,0.0
208,G001803785,10069,2,0.0002,2620,2322,227,kingdom,1.0,0.89,0.36,0.04,0.08,0.61,0.55,True,k__Bacteria (UID3187),2258,181,110,68.1,6.36,0.0,2608363,93268,227,1401,13176,3650,11490,1795,49321,14275,43.25,1.47,75.2,11,2701,46,129,5,1,0,0,,227,227,220,102,12,0,2608363,2608363,2575483,1741875,378262,0,227,49321,2608363,43.25,13176,8643,65,125,3575.73
209,G001282785,10069,0,0.0,2853,2808,1,kingdom,1.0,0.98,0.0,0.0,0.0,0.85,0.83,True,f__Halobacteriaceae (UID96),40,417,263,96.58,0.38,0.0,2835858,0,1,1,2835858,2835858,2835858,2835858,2835858,2835858,67.94,0.0,88.93,11,2886,10,406,1,0,0,0,,1,1,1,1,1,1,2835858,2835858,2835858,2835858,2835858,2835858,1,2835858,2835858,67.94,2835858,2835858,1,1,0.0
210,G000344805,10069,0,0.0,7141,7077,1,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,g__Bradyrhizobium (UID3699),37,824,336,99.35,0.27,0.0,8264165,0,1,1,8264165,8264165,8264165,8264165,8264165,8264165,65.13,0.0,86.11,11,7164,4,817,3,0,0,0,,1,1,1,1,1,1,8264165,8264165,8264165,8264165,8264165,8264165,1,8264165,8264165,65.13,8264165,8264165,1,1,0.0
211,G000319385,10069,0,0.0,808,800,1,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,c__Alphaproteobacteria (UID3305),564,349,230,80.94,0.0,0.0,1481191,0,1,1,1481191,1481191,1481191,1481191,1481191,1481191,34.15,0.0,57.41,11,796,60,289,0,0,0,0,,1,1,1,1,1,1,1481191,1481191,1481191,1481191,1481191,1481191,1,1481191,1481191,34.15,1481191,1481191,1,1,0.14
212,G000213975,10069,1,0.0001,2544,2510,8,genus,0.99,0.98,0.04,0.06,0.12,0.99,0.97,True,f__Veillonellaceae (UID1033),26,623,289,99.31,0.05,0.0,2761262,45575,10,71,2749943,72349,276126,38249,2749943,222946,55.98,3.83,88.55,11,2508,2,620,1,0,0,0,,10,6,1,1,1,1,2761262,2759091,2749943,2749943,2749943,2749943,10,2749943,2761262,55.98,2749943,2749943,1,1,1650.51
213,G001625015,10069,0,0.0,3778,3725,16,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.97,True,p__Bacteroidetes (UID2591),364,300,200,98.0,0.5,0.0,5213657,0,21,21,4172384,4172384,248269,248269,4172384,4172384,55.29,7.64,88.32,11,3852,4,295,1,0,0,0,,21,7,4,4,4,4,5213657,5205847,5201588,5201588,5201588,5201588,21,4172384,5213657,55.29,4172384,4172384,1,1,0.0
214,G900089075,10069,3,0.0003,2305,2293,8,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.99,True,k__Bacteria (UID2565),2921,152,93,100.0,0.0,0.0,2434476,145,9,10,1286831,908168,270497,243433,1286831,977123,38.16,5.91,90.14,11,2335,0,152,0,0,0,0,,9,6,3,3,3,3,2434476,2431826,2426619,2426619,2426619,2426619,9,1286831,2434476,38.16,1286831,908173,1,2,5.96
215,G001553285,10069,0,0.0,1827,1817,14,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.98,True,f__Actinomycetaceae (UID1531),42,420,211,99.53,1.34,0.0,2096989,1400,14,28,364836,173408,149784,74842,795763,353001,53.15,2.91,90.08,11,1825,1,414,5,0,0,0,,14,14,13,11,9,8,2096989,2096989,2095577,2084169,2057880,2025864,14,795763,2096989,53.15,364836,215429,2,4,66.76
216,G000014465,10069,1,0.0001,2304,2273,3,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.97,True,o__Lactobacillales (UID463),75,376,160,99.06,0.0,0.0,2340228,0,3,3,2291220,2291220,780076,780076,2291220,2291220,46.06,6.11,85.54,11,2283,2,374,0,0,0,0,,3,3,3,3,2,1,2340228,2340228,2340228,2340228,2326815,2291220,3,2291220,2340228,46.06,2291220,2291220,1,1,0.0
217,G000714715,10069,16,0.0016,3149,3096,69,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.96,True,k__Bacteria (UID3187),2258,181,110,92.42,0.91,0.0,3415676,0,70,70,90253,90253,48795,48795,252526,252526,48.87,5.06,88.32,11,3199,9,171,0,1,0,0,,70,70,53,51,40,22,3415676,3415676,3387165,3371826,3182351,2515542,70,252526,3415676,48.87,90253,48329,11,23,0.79
218,G000998935,10069,0,0.0,794,787,37,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.97,True,k__Bacteria (UID1453),901,171,117,57.35,1.28,0.0,757207,169,37,39,28148,25828,20465,19411,51789,51789,42.62,1.25,84.83,11,796,65,104,2,0,0,0,,37,37,37,28,12,1,757207,757207,757207,690277,442649,51789,37,51789,757207,42.62,28148,15333,10,19,22.32
219,G000437335,10069,5,0.0005,1437,1417,25,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.97,True,k__Bacteria (UID2328),3167,126,75,96.85,0.67,0.0,1401601,826,25,45,120217,54469,56064,31128,238534,132479,34.39,2.11,91.78,11,1420,6,119,1,0,0,0,,25,23,22,20,14,11,1401601,1399911,1397824,1381048,1289461,1188829,25,238534,1401601,34.39,120217,54469,5,9,58.93
220,G001426485,10069,1,0.0001,3678,3624,4,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.97,True,o__Actinomycetales (UID1697),387,330,193,99.74,1.21,0.0,3707866,615,4,17,3001379,479162,926966,218073,3001379,1331434,71.34,8.11,92.73,11,3656,1,326,3,0,0,0,,4,4,3,3,3,3,3707866,3707866,3703770,3703770,3703770,3703770,4,3001379,3707866,71.34,3001379,3001379,1,1,16.59
221,G001995005,10069,1,0.0001,1869,1829,221,kingdom,1.0,0.98,0.0,0.0,0.0,0.95,0.93,True,o__Clostridiales (UID1212),172,263,149,81.07,5.33,15.38,1853627,47,221,222,11520,11270,8387,8349,52664,52664,32.46,1.65,91.16,11,1870,42,208,13,0,0,0,,221,221,130,73,6,1,1853627,1853627,1530081,1146929,203599,52664,221,52664,1853627,32.46,11520,6240,53,105,2.54
222,G001427385,10069,2,0.0002,4094,4027,38,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.97,True,o__Rhizobiales (UID3450),238,513,244,99.1,0.79,25.0,4193379,1371,38,53,278938,145708,110352,79094,677691,419028,61.5,2.99,87.71,11,4092,3,506,4,0,0,0,,38,38,35,28,23,17,4193379,4193379,4184072,4131624,4055672,3851706,38,677691,4193379,61.5,278938,164530,5,10,33.72
223,G001424905,10069,3,0.0003,3158,3134,2,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.97,True,o__Actinomycetales (UID1593),69,400,198,99.49,0.0,0.0,3406696,85,2,3,2957399,2282165,1703348,1135537,2957399,2282165,65.58,0.23,92.14,11,3166,1,399,0,0,0,0,,2,2,2,2,2,2,3406696,3406696,3406696,3406696,3406696,3406696,2,2957399,3406696,65.58,2957399,2957399,1,1,2.5
224,G000307245,10069,1,0.0001,4441,4051,483,order,0.89,0.81,0.02,0.11,0.27,0.69,0.56,True,o__Actinomycetales (UID1572),580,288,173,90.17,1.01,66.67,4500574,264503,626,1777,954581,5096,7189,2383,1340058,33570,72.7,3.89,80.78,11,4739,22,263,3,0,0,0,,626,24,7,6,6,6,4500574,4342780,4317602,4311941,4311941,4311941,626,1340058,4500574,72.7,954581,495515,2,4,5877.09
225,G001049895,10069,2,0.0002,2796,2738,6,kingdom,1.0,0.98,0.0,0.0,0.0,0.99,0.97,True,p__Firmicutes (UID242),830,245,130,98.46,2.05,0.0,2843796,2,6,6,556160,556160,473966,473965,1233124,1233123,43.76,0.98,87.69,11,2735,2,239,4,0,0,0,,6,6,6,5,4,4,2843796,2843796,2843796,2837559,2824317,2824317,6,1233124,2843796,43.76,556160,535116,2,3,0.07
226,G001774335,10069,2,0.0002,1169,1148,23,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.97,True,k__Bacteria (UID1452),924,151,101,66.5,0.99,0.0,1059718,2919,23,100,68425,18607,46074,10567,136073,84280,48.89,1.81,93.87,11,1167,38,111,2,0,0,0,,23,23,23,18,14,9,1059718,1059718,1059718,1030400,958952,783398,23,136073,1059718,48.89,68425,41911,5,10,275.45
227,G000504245,10069,0,0.0,5023,4827,1,kingdom,1.0,0.96,0.0,0.0,0.0,0.69,0.66,True,o__Actinomycetales (UID2012),35,495,282,100.0,1.54,0.0,5551297,400,1,5,5551297,1803796,5551297,1110179,5551297,2027928,67.76,0.0,89.26,11,5103,0,488,7,0,0,0,,1,1,1,1,1,1,5551297,5551297,5551297,5551297,5551297,5551297,1,5551297,5551297,67.76,5551297,5551297,1,1,7.21
228,G000153065,10069,3,0.0003,2739,2703,1,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.97,True,p__Cyanobacteria (UID2143),129,472,368,99.46,0.0,0.0,2584918,5376,1,9,2584918,378064,2584918,286615,2584918,595814,64.46,0.0,92.64,11,2702,2,470,0,0,0,0,,1,1,1,1,1,1,2584918,2584918,2584918,2584918,2584918,2584918,1,2584918,2584918,64.46,2584918,2584918,1,1,207.98
229,G001708185,10069,2,0.0002,4754,4536,46,genus,0.92,0.88,0.12,0.07,0.14,0.89,0.78,True,c__Bacilli (UID259),750,275,151,99.34,2.21,0.0,4763528,0,49,49,412414,412414,97214,97214,973703,973703,36.82,4.82,79.84,11,4671,1,269,5,0,0,0,,49,45,34,31,28,21,4763528,4760629,4730849,4708614,4650720,4424025,49,973703,4763528,36.82,412414,128452,4,11,0.0
230,G000426565,10069,1,0.0001,2298,2258,44,kingdom,1.0,0.98,0.0,0.0,0.0,0.99,0.97,True,g__Prevotella (UID2724),55,567,296,98.65,0.34,33.33,2668851,2386,44,49,228707,163880,60655,54417,352485,352485,41.23,2.64,90.09,11,2286,4,560,3,0,0,0,,44,44,31,26,19,12,2668851,2668851,2645378,2611669,2458768,2197376,44,352485,2668851,41.23,228707,111188,5,9,89.4
231,G001791035,10069,0,0.0,916,866,41,kingdom,1.0,0.95,0.0,0.0,0.0,0.95,0.9,True,k__Bacteria (UID1452),924,151,101,62.62,0.0,0.0,927625,2724,41,93,31934,19845,22625,9945,79856,37229,53.2,1.74,90.36,11,946,43,108,0,0,0,0,,41,41,41,32,14,3,927625,927625,927625,867390,564095,192820,41,79856,927625,53.2,31934,20337,11,20,293.65
232,G000018785,10069,0,0.0,1405,1395,1,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,k__Bacteria (UID2328),3167,125,74,98.65,0.0,0.0,1496992,0,1,1,1496992,1496992,1496992,1496992,1496992,1496992,31.93,0.0,91.42,11,1389,1,124,0,0,0,0,,1,1,1,1,1,1,1496992,1496992,1496992,1496992,1496992,1496992,1,1496992,1496992,31.93,1496992,1496992,1,1,0.0
233,G001940755,10069,2,0.0002,2345,1641,224,kingdom,1.0,0.7,0.14,0.44,0.97,0.42,0.29,True,k__Archaea (UID2),207,149,107,79.37,2.34,0.0,2278690,0,225,225,10774,10774,10127,10127,40319,40319,33.36,1.42,91.13,11,2365,26,119,4,0,0,0,,225,225,224,74,10,0,2278690,2278690,2275391,1221602,302539,0,225,40319,2278690,33.36,10774,7530,67,132,0.0
234,G001438045,10069,1,0.0001,2512,2401,794,order,0.97,0.93,0.47,0.09,0.19,0.73,0.68,False,f__Rhodobacteraceae (UID3340),84,568,330,70.84,2.14,18.18,2112289,0,796,796,3112,3112,2653,2653,14454,14454,50.53,3.88,90.81,11,2549,149,408,11,0,0,0,,796,796,81,12,0,0,2112289,2112289,613152,146468,0,0,796,14454,2112289,50.53,3112,1871,196,413,0.0
235,G001315985,10069,2,0.0002,3960,3727,62,kingdom,1.0,0.94,0.0,0.0,0.0,0.83,0.78,True,k__Archaea (UID146),59,174,136,90.87,0.0,0.0,2422819,0,65,65,124377,124377,37274,37274,329852,329852,46.0,4.21,86.69,11,4330,18,156,0,0,0,0,,65,58,37,28,23,14,2422819,2418490,2358685,2300296,2220576,1840884,65,329852,2422819,46.0,124377,51242,7,14,0.0
236,G000991295,10069,14,0.0014,905,801,40,class,0.71,0.63,0.63,0.55,3.01,0.68,0.43,False,k__Bacteria (UID203),5449,104,58,47.41,2.59,0.0,830276,117,40,43,25906,25906,20756,19306,149514,149514,36.89,2.23,90.64,11,929,44,58,1,1,0,0,,40,40,40,24,6,3,830276,830276,830276,722328,431836,338297,40,149514,830276,36.89,25906,16219,6,17,14.09
237,G900129715,10069,1,0.0001,3164,3039,52,phylum,0.98,0.94,0.2,0.02,0.05,0.94,0.89,True,k__Bacteria (UID2495),2993,147,91,100.0,1.65,0.0,3784473,0,52,52,148285,148285,72778,72778,428829,428829,48.99,3.42,90.57,11,3174,0,145,2,0,0,0,,52,52,43,39,32,20,3784473,3784473,3765322,3739337,3610338,3153279,52,428829,3784473,48.99,148285,76831,7,16,0.0
238,G001438805,10069,5,0.0005,2624,2577,64,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.96,True,o__Lactobacillales (UID374),471,350,191,99.48,1.57,42.86,2698724,7,71,71,85023,85023,38010,38010,298405,298405,35.48,3.24,87.3,11,2600,1,342,7,0,0,0,,71,63,50,44,34,14,2698724,2695202,2669619,2623513,2465895,1695211,71,298405,2698724,35.48,85023,40784,10,22,0.26
239,G000218895,10069,1,0.0001,5979,5817,6,kingdom,1.0,0.97,0.0,0.0,0.0,0.97,0.95,True,o__Cytophagales (UID2936),47,454,336,100.0,0.6,0.0,6919729,0,6,6,6568739,6568739,1153288,1153288,6568739,6568739,46.42,3.47,88.61,11,6001,0,452,2,0,0,0,,6,6,6,6,6,4,6919729,6919729,6919729,6919729,6919729,6836191,6,6568739,6919729,46.42,6568739,6568739,1,1,0.0
240,G000635715,10069,4,0.0004,1743,1705,283,kingdom,1.0,0.98,0.0,0.0,0.0,0.97,0.95,True,p__Cyanobacteria (UID2143),129,472,368,88.29,0.28,0.0,1368538,6,308,308,58976,58976,4443,4443,299899,299899,31.48,2.86,91.0,11,1781,50,420,2,0,0,0,,308,79,28,19,13,8,1368538,1272752,1165799,1104144,1004528,835489,308,299899,1368538,31.48,58976,22251,6,14,0.44
241,G000382245,10069,2,0.0002,3549,3518,62,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,c__Gammaproteobacteria (UID4444),263,500,228,99.09,0.46,0.0,3750691,7255,63,72,122120,97424,59534,51992,322781,322781,62.76,6.27,88.45,11,3515,4,494,2,0,0,0,,63,63,51,44,33,27,3750691,3750691,3717146,3667222,3473431,3244907,63,322781,3750691,62.76,122120,64655,10,20,193.43
242,G001412105,10069,0,0.0,2300,2286,4,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,o__Actinomycetales (UID1812),229,457,227,99.78,0.84,0.0,2413873,0,4,4,721185,721185,603468,603468,826293,826293,64.8,0.5,89.77,11,2330,1,452,4,0,0,0,,4,4,4,4,4,4,2413873,2413873,2413873,2413873,2413873,2413873,4,826293,2413873,64.8,721185,474106,2,3,0.0
243,G001790445,10069,1,0.0001,878,855,9,kingdom,1.0,0.97,0.0,0.0,0.0,0.98,0.96,True,k__Bacteria (UID1452),924,161,108,72.69,0.0,0.0,856182,157,9,13,218866,155302,95131,65848,280162,218858,41.18,1.24,90.61,11,894,32,129,0,0,0,0,,9,9,9,6,5,4,856182,856182,856182,833349,822788,787009,9,280162,856182,41.18,218866,157352,2,3,18.34
244,G000018945,10069,0,0.0,1896,1892,1,kingdom,1.0,1.0,0.0,0.0,0.0,0.99,0.99,True,k__Bacteria (UID209),5443,101,56,100.0,0.0,0.0,1884562,0,1,1,1884562,1884562,1884562,1884562,1884562,1884562,46.94,0.0,95.21,11,1915,0,101,0,0,0,0,,1,1,1,1,1,1,1884562,1884562,1884562,1884562,1884562,1884562,1,1884562,1884562,46.94,1884562,1884562,1,1,0.0
245,G001468855,10069,3,0.0003,1278,1208,7,kingdom,1.0,0.95,0.0,0.0,0.0,0.98,0.92,True,k__Bacteria (UID2495),2993,143,89,83.9,4.49,0.0,1504385,105044,7,111,806336,22363,214912,12606,806336,102185,36.91,2.14,80.27,11,1240,15,124,4,0,0,0,,7,7,7,7,7,5,1504385,1504385,1504385,1504385,1504385,1432947,7,806336,1504385,36.91,806336,172308,1,3,6982.52
246,G000376225,10069,7,0.0007,3505,3436,135,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.97,True,p__Firmicutes (UID242),830,245,130,98.46,3.33,0.0,3363524,0,135,135,74762,74762,24914,24914,193492,193492,54.82,5.34,85.99,11,3503,3,237,5,0,0,0,,135,135,81,63,37,24,3363524,3363524,3242089,3113755,2712256,2242560,135,193492,3363524,54.82,74762,38882,16,31,0.0
247,G001508335,10069,0,0.0,1769,1758,25,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.97,True,k__Bacteria (UID2495),2993,147,91,94.51,0.0,0.0,1861827,0,25,25,139749,139749,74473,74473,254274,254274,31.73,1.5,95.63,11,1768,5,142,0,0,0,0,,25,25,23,21,18,13,1861827,1861827,1852865,1839978,1789291,1604823,25,254274,1861827,31.73,139749,63012,5,10,0.0
